league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
Premier League,Brighton vs Southampton,21/05/2023,Brighton,Southampton,3,1
Premier League,Man City vs Chelsea,21/05/2023,Man City,Chelsea,1,0
Premier League,Newcastle vs Leicester,22/05/2023,Newcastle,Leicester,0,0
Premier League,Brighton vs Man City,24/05/2023,Brighton,Man City,1,1
Premier League,Man United vs Chelsea,25/05/2023,Man United,Chelsea,4,1
Premier League,Arsenal vs Wolves,28/05/2023,Arsenal,Wolves,5,0
Premier League,Aston Villa vs Brighton,28/05/2023,Aston Villa,Brighton,2,1
Premier League,Brentford vs Man City,28/05/2023,Brentford,Man City,1,0
Premier League,Chelsea vs Newcastle,28/05/2023,Chelsea,Newcastle,1,1
Premier League,Crystal Palace vs Nottingham,28/05/2023,Crystal Palace,Nottingham,1,1
Premier League,Everton vs Bournemouth,28/05/2023,Everton,Bournemouth,1,0
Premier League,Leeds vs Tottenham,28/05/2023,Leeds,Tottenham,1,4
Premier League,Leicester vs West Ham,28/05/2023,Leicester,West Ham,2,1
Premier League,Man United vs Fulham,28/05/2023,Man United,Fulham,2,1
Premier League,Southampton vs Liverpool,28/05/2023,Southampton,Liverpool,4,4
