league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
Premier League,Fulham vs Wolves,24/02/2023,Fulham,Wolves,1,1
Premier League,Everton vs Aston Villa,25/02/2023,Everton,Aston Villa,0,2
Premier League,Leeds vs Southampton,25/02/2023,Leeds,Southampton,1,0
Premier League,Leicester vs Arsenal,25/02/2023,Leicester,Arsenal,0,1
Premier League,West Ham vs Nottingham,25/02/2023,West Ham,Nottingham,4,0
Premier League,Bournemouth vs Man City,25/02/2023,Bournemouth,Man City,1,4
Premier League,Crystal Palace vs Liverpool,25/02/2023,Crystal Palace,Liverpool,0,0
Premier League,Tottenham vs Chelsea,26/02/2023,Tottenham,Chelsea,2,0
Premier League,Arsenal vs Everton,1/3/2023,Arsenal,Everton,4,0
Premier League,Liverpool vs Wolves,1/3/2023,Liverpool,Wolves,2,0
Premier League,Man City vs Newcastle,4/3/2023,Man City,Newcastle,2,0
Premier League,Arsenal vs Bournemouth,4/3/2023,Arsenal,Bournemouth,3,2
Premier League,Aston Villa vs Crystal Palace,4/3/2023,Aston Villa,Crystal Palace,1,0
Premier League,Brighton vs West Ham,4/3/2023,Brighton,West Ham,4,0
Premier League,Chelsea vs Leeds,4/3/2023,Chelsea,Leeds,1,0
Premier League,Wolves vs Tottenham,4/3/2023,Wolves,Tottenham,1,0
Premier League,Southampton vs Leicester,4/3/2023,Southampton,Leicester,1,0
Premier League,Nottingham vs Everton,5/3/2023,Nottingham,Everton,2,2
Premier League,Liverpool vs Man United,5/3/2023,Liverpool,Man United,7,0
Premier League,Brentford vs Fulham,6/3/2023,Brentford,Fulham,3,2
Premier League,Bournemouth vs Liverpool,11/3/2023,Bournemouth,Liverpool,1,0
Premier League,Everton vs Brentford,11/3/2023,Everton,Brentford,1,0
Premier League,Leeds vs Brighton,11/3/2023,Leeds,Brighton,2,2
Premier League,Leicester vs Chelsea,11/3/2023,Leicester,Chelsea,1,3
Premier League,Tottenham vs Nottingham,11/3/2023,Tottenham,Nottingham,3,1
Premier League,Crystal Palace vs Man City,11/3/2023,Crystal Palace,Man City,0,1
Premier League,Fulham vs Arsenal,12/3/2023,Fulham,Arsenal,0,3
Premier League,Man United vs Southampton,12/3/2023,Man United,Southampton,0,0
Premier League,West Ham vs Aston Villa,12/3/2023,West Ham,Aston Villa,1,1
Premier League,Newcastle vs Wolves,12/3/2023,Newcastle,Wolves,2,1
Premier League,Brighton vs Crystal Palace,15/03/2023,Brighton,Crystal Palace,1,0
Premier League,Southampton vs Brentford,15/03/2023,Southampton,Brentford,0,2
Premier League,Nottingham vs Newcastle,17/03/2023,Nottingham,Newcastle,1,2
Premier League,Aston Villa vs Bournemouth,18/03/2023,Aston Villa,Bournemouth,3,0
Premier League,Brentford vs Leicester,18/03/2023,Brentford,Leicester,1,1
Premier League,Southampton vs Tottenham,18/03/2023,Southampton,Tottenham,3,3
Premier League,Wolves vs Leeds,18/03/2023,Wolves,Leeds,2,4
Premier League,Chelsea vs Everton,18/03/2023,Chelsea,Everton,2,2
Premier League,Arsenal vs Crystal Palace,19/03/2023,Arsenal,Crystal Palace,4,1
Premier League,Man City vs Liverpool,1/4/2023,Man City,Liverpool,4,1
Premier League,Arsenal vs Leeds,1/4/2023,Arsenal,Leeds,4,1
Premier League,Bournemouth vs Fulham,1/4/2023,Bournemouth,Fulham,2,1
Premier League,Brighton vs Brentford,1/4/2023,Brighton,Brentford,3,3
Premier League,Crystal Palace vs Leicester,1/4/2023,Crystal Palace,Leicester,2,1
Premier League,Nottingham vs Wolves,1/4/2023,Nottingham,Wolves,1,1
Premier League,Chelsea vs Aston Villa,1/4/2023,Chelsea,Aston Villa,0,2
Premier League,West Ham vs Southampton,2/4/2023,West Ham,Southampton,1,0
Premier League,Newcastle vs Man United,2/4/2023,Newcastle,Man United,2,0
Premier League,Everton vs Tottenham,3/4/2023,Everton,Tottenham,1,1
Premier League,Bournemouth vs Brighton,4/4/2023,Bournemouth,Brighton,0,2
Premier League,Leeds vs Nottingham,4/4/2023,Leeds,Nottingham,2,1
Premier League,Leicester vs Aston Villa,4/4/2023,Leicester,Aston Villa,1,2
Premier League,Chelsea vs Liverpool,4/4/2023,Chelsea,Liverpool,0,0
